110 25 280.585	368.749	-1.95217	-1.23009
110.25 25 280.915	271.749	-2.48217	-0.980087
110.5 25 280.005	354.749	-3.43217	-1.42009
110.75 25 278.475	539.749	-3.37217	-2.32009
111 25 278.095	586.749	-2.51217	-3.14009
111.25 25 279.205	451.749	-2.43217	-3.52009
111.5 25 279.475	450.749	-3.27217	-3.43009
111.75 25 278.115	682.749	-3.07217	-3.31009
112 25 277.895	772.749	-1.79217	-3.54009
112.25 25 279.835	581.749	-1.28217	-3.84009
112.5 25 281.635	433.749	-2.15217	-3.51009
112.75 25 281.425	583.749	-2.49217	-2.50009
113 25 281.595	683.749	-1.62217	-1.75009
113.25 25 283.555	515.749	-0.932173	-1.66009
113.5 25 285.665	274.749	-1.46217	-1.79009
113.75 25 285.545	260.749	-2.55217	-1.68009
114 25 283.915	381.749	-2.95217	-1.45009
114.25 25 282.745	414.749	-2.54217	-1.41009
114.5 25 282.355	369.749	-1.79217	-1.59009
114.75 25 282.415	340.749	-1.19217	-1.81009
115 25 282.845	375.749	-0.872173	-1.75009
115.25 25 283.595	451.749	-0.572173	-1.36009
115.5 25 284.905	510.749	-0.152173	-0.810087
115.75 25 286.895	523.749	0.377827	-0.160087
116 25 289.465	504.749	0.627827	0.749913
116.25 25 292.405	444.749	0.307827	1.87991
116.5 25 294.275	444.749	-0.232173	2.73991
116.75 25 293.695	601.749	-0.572173	3.03991
117 25 291.795	748.749	-0.792173	2.79991
117.25 25 290.635	684.749	-1.00217	2.23991
117.5 25 289.605	622.749	-0.862173	1.72991
117.75 25 288.465	619.749	-0.422173	1.44991
118 25 288.385	502.749	-0.222173	1.27991
118.25 25 289.225	273.749	-0.572173	0.879913
118.5 25 289.265	131.749	-1.18217	-0.0700867
118.75 25 288.465	81.7492	-1.91217	-1.84009
119 25 287.675	40.7492	-2.87217	-4.51009
119.25 25 287.085	9.74919	-3.93217	-7.54009
119.5 25 286.665	21.7492	-4.66217	-9.81009
119.75 25 286.785	28.7492	-5.09217	-10.9901
120 25 287.295	19.7492	-5.42217	-11.4701
120.25 25 287.725	38.7492	-5.73217	-11.6701
120.5 25 288.655	46.7492	-6.14217	-11.2801
120.75 25 290.795	-11.2508	-6.70217	-9.69009
121 25 292.675	-5.25081	-7.08217	-7.24009
121.25 25 292.855	142.749	-7.14217	-4.82009
121.5 25 292.135	270.749	-6.91217	-3.23009
121.75 25 292.405	208.749	-6.14217	-2.86009
122 25 293.445	96.7492	-4.93217	-2.96009
122.25 25 294.545	33.7492	-3.78217	-2.56009
122.5 25 295.375	18.7492	-3.24217	-1.14009
122.75 25 295.825	22.7492	-3.47217	0.809913
123 25 296.005	24.7492	-4.25217	2.05991
123.25 25 296.145	22.7492	-5.32217	2.15991
123.5 25 296.215	23.7492	-6.35217	1.49991
123.75 25 296.165	22.7492	-6.99217	0.729913
124 25 296.035	22.7492	-7.07217	0.299913
124.25 25 295.855	23.7492	-6.88217	0.0899133
124.5 25 295.705	23.7492	-6.65217	-0.0700867
124.75 25 295.585	22.7492	-6.52217	-0.260087
125 25 295.435	23.7492	-6.53217	-0.450087
125.25 25 295.285	23.7492	-6.56217	-0.600087
125.5 25 295.145	23.7492	-6.49217	-0.730087
125.75 25 295.025	23.7492	-6.30217	-0.820087
126 25 294.905	22.7492	-5.99217	-0.870087
126.25 25 294.835	22.7492	-5.66217	-0.850087
126.5 25 294.765	23.7492	-5.35217	-0.790087
126.75 25 294.745	23.7492	-5.07217	-0.730087
127 25 294.765	22.7492	-4.82217	-0.710087
127.25 25 294.835	23.7492	-4.60217	-0.740087
127.5 25 294.955	22.7492	-4.45217	-0.780087
127.75 25 295.075	22.7492	-4.37217	-0.810087
128 25 295.185	22.7492	-4.37217	-0.830087
128.25 25 295.285	23.7492	-4.43217	-0.860087
128.5 25 295.355	23.7492	-4.55217	-0.900087
128.75 25 295.425	22.7492	-4.71217	-0.970087
129 25 295.495	22.7492	-4.90217	-1.08009
129.25 25 295.555	22.7492	-5.09217	-1.20009
129.5 25 295.615	22.7492	-5.21217	-1.34009
129.75 25 295.655	22.7492	-5.23217	-1.48009
130 25 295.685	22.7492	-5.11217	-1.62009
130.25 25 295.695	22.7492	-4.84217	-1.75009
130.5 25 295.725	23.7492	-4.43217	-1.89009
130.75 25 295.755	23.7492	-3.85217	-1.99009
131 25 295.805	23.7492	-3.13217	-2.02009
131.25 25 295.875	23.7492	-2.31217	-1.93009
131.5 25 295.915	23.7492	-1.48217	-1.64009
131.75 25 295.935	23.7492	-0.772173	-1.08009
132 25 295.895	23.7492	-0.312173	-0.290087
132.25 25 295.825	23.7492	-0.0921728	0.539913
132.5 25 295.735	22.7492	-0.0121729	1.17991
132.75 25 295.645	22.7492	0.0878271	1.47991
133 25 295.605	22.7492	0.357827	1.32991
133.25 25 295.605	22.7492	0.767827	0.939913
133.5 25 295.645	22.7492	1.14783	0.479913
133.75 25 295.665	22.7492	1.30783	0.169913
134 25 295.645	23.7492	1.10783	0.159913
134.25 25 295.565	23.7492	0.697827	0.449913
134.5 25 295.455	23.7492	0.367827	0.849913
134.75 25 295.335	22.7492	0.337827	1.15991
135 25 295.215	22.7492	0.687827	1.21991
110 25.25 280.925	375.749	-1.98217	-1.01009
110.25 25.25 281.385	238.749	-2.87217	-0.950087
110.5 25.25 279.745	390.749	-4.15217	-1.10009
110.75 25.25 277.295	673.749	-4.06217	-1.72009
111 25.25 276.745	726.749	-2.82217	-2.67009
111.25 25.25 278.475	489.749	-2.23217	-3.33009
111.5 25.25 279.525	359.749	-2.92217	-3.12009
111.75 25.25 278.075	562.749	-3.13217	-2.51009
112 25.25 276.545	765.749	-2.23217	-2.45009
112.25 25.25 276.945	711.749	-1.50217	-3.00009
112.5 25.25 278.605	527.749	-1.73217	-3.32009
112.75 25.25 279.935	473.749	-1.99217	-2.82009
113 25.25 280.975	523.749	-1.59217	-2.24009
113.25 25.25 282.275	555.749	-1.21217	-2.00009
113.5 25.25 283.675	526.749	-1.55217	-1.85009
113.75 25.25 284.215	491.749	-2.34217	-1.48009
114 25.25 283.445	486.749	-2.76217	-1.15009
114.25 25.25 282.385	439.749	-2.52217	-1.19009
114.5 25.25 281.945	324.749	-1.97217	-1.59009
114.75 25.25 282.005	240.749	-1.44217	-2.03009
115 25.25 281.965	303.749	-0.942173	-2.04009
115.25 25.25 282.285	411.749	-0.422173	-1.66009
115.5 25.25 283.475	467.749	0.0478271	-1.21009
115.75 25.25 285.175	511.749	0.487827	-0.850087
116 25.25 287.405	559.749	0.847827	-0.240087
116.25 25.25 290.585	531.749	0.837827	0.849913
116.5 25.25 293.005	546.749	0.567827	2.02991
116.75 25.25 293.045	714.749	0.227827	2.75991
117 25.25 292.115	813.749	-0.312173	2.83991
117.25 25.25 291.925	682.749	-0.932173	2.43991
117.5 25.25 291.025	630.749	-0.982173	2.02991
117.75 25.25 289.465	683.749	-0.672173	1.75991
118 25.25 288.975	604.749	-0.672173	1.47991
118.25 25.25 289.405	405.749	-1.13217	0.969913
118.5 25.25 289.145	284.749	-1.53217	0.139913
118.75 25.25 288.435	195.749	-1.77217	-1.19009
119 25.25 287.845	83.7492	-2.20217	-3.30009
119.25 25.25 287.185	6.74919	-2.99217	-6.12009
119.5 25.25 286.525	5.74919	-3.80217	-8.74009
119.75 25.25 286.365	19.7492	-4.39217	-10.2601
120 25.25 286.775	12.7492	-4.86217	-10.7001
120.25 25.25 287.245	12.7492	-5.42217	-10.7001
120.5 25.25 287.505	45.7492	-6.16217	-10.5001
120.75 25.25 288.215	60.7492	-7.09217	-9.69009
121 25.25 289.535	32.7492	-7.94217	-8.13009
121.25 25.25 290.685	25.7492	-8.32217	-6.29009
